km,fare
1,155
2,155
3,155
4,199
5,199
6,199
7,220
8,220
9,220
10,220
11,253
12,253
13,253
14,253
15,253
16,341
17,341
18,341
19,341
20,341
21,440
22,440
23,440
24,528
25,528
26,528
27,528
28,528
29,616
30,616
31,616
32,616
33,715
34,715
35,715
36,715
37,715
38,803
39,803
40,803
41,803
42,902
43,902
44,902
45,902
46,902
47,1034
48,1034
49,1034
50,1034
51,1034
52,1034
53,1034
54,1034
55,1034
56,1221
57,1221
58,1221
59,1221
60,1221
61,1221
62,1221
63,1221
64,1221
65,1408
66,1408
67,1408
68,1408
69,1408
70,1408
71,1408
72,1408
73,1408
74,1595
75,1595
76,1595
77,1595
78,1595
79,1595
80,1595
81,1595
82,1595
83,1782
84,1782
85,1782
86,1782
87,1782
88,1782
89,1782
90,1782
91,1782
92,1980
93,1980
94,1980
95,1980
96,1980
97,1980
98,1980
99,1980
100,1980
101,2090
102,2090
103,2090
104,2090
105,2090
106,2090
107,2090
108,2090
109,2090
110,2090
111,2420
112,2420
113,2420
114,2420
115,2420
116,2420
117,2420
118,2420
119,2420
120,2420
121,2420
122,2420
123,2420
124,2420
125,2420
126,2420
127,2420
128,2420
129,2750
130,2750
131,2750
132,2750
133,2750
134,2750
135,2750
136,2750
137,2750
138,2750
139,2750
140,2750
141,2750
142,2750
143,2750
144,2750
145,2750
146,2750
147,3190
148,3190
149,3190
150,3190
151,3190
152,3190
153,3190
154,3190
155,3190
156,3190
157,3190
158,3190
159,3190
160,3190
161,3190
162,3190
163,3190
164,3190
165,3520
166,3520
167,3520
168,3520
169,3520
170,3520
171,3520
172,3520
173,3520
174,3520
175,3520
176,3520
177,3520
178,3520
179,3520
180,3520
181,3520
182,3520
183,3850
184,3850
185,3850
186,3850
187,3850
188,3850
189,3850
190,3850
191,3850
192,3850
193,3850
194,3850
195,3850
196,3850
197,3850
198,3850
199,3850
200,3850
201,4180
202,4180
203,4180
204,4180
205,4180
206,4180
207,4180
208,4180
209,4180
210,4180
211,4180
212,4180
213,4180
214,4180
215,4180
216,4180
217,4180
218,4180
219,4180
220,4620
221,4620
222,4620
223,4620
224,4620
225,4620
226,4620
227,4620
228,4620
229,4620
230,4620
231,4620
232,4620
233,4620
234,4620
235,4620
236,4620
237,4620
238,5060
239,5060
240,5060
241,5060
242,5060
243,5060
244,5060
245,5060
246,5060
247,5060
248,5060
249,5060
250,5060
251,5060
252,5060
253,5060
254,5060
255,5060
256,5390
257,5390
258,5390
259,5390
260,5390
261,5390
262,5390
263,5390
264,5390
265,5390
266,5390
267,5390
268,5390
269,5390
270,5390
271,5390
272,5390
273,5390
274,5720
275,5720
276,5720
277,5720
278,5720
279,5720
280,5720
281,5720
282,5720
283,5720
284,5720
285,5720
286,5720
287,5720
288,5720
289,5720
290,5720
291,5720
292,5940
293,5940
294,5940
295,5940
296,5940
297,5940
298,5940
299,5940
300,5940
301,5940
302,5940
303,5940
304,5940
305,5940
306,5940
307,5940
308,5940
309,5940
310,5940
311,6270
312,6270
313,6270
314,6270
315,6270
316,6270
317,6270
318,6270
319,6270
320,6270
321,6270
322,6270
323,6270
324,6270
325,6270
326,6270
327,6270
328,6270
329,6600
330,6600
331,6600
332,6600
333,6600
334,6600
335,6600
336,6600
337,6600
338,6600
339,6600
340,6600
341,6600
342,6600
343,6600
344,6600
345,6600
346,6600
347,6930
348,6930
349,6930
350,6930
351,6930
352,6930
353,6930
354,6930
355,6930
356,6930
357,6930
358,6930
359,6930
360,6930
361,6930
362,6930
363,6930
364,6930
365,7260
366,7260
367,7260
368,7260
369,7260
370,7260
371,7260
372,7260
373,7260
374,7260
375,7260
376,7260
377,7260
378,7260
379,7260
380,7260
381,7260
382,7260
383,7480
384,7480
385,7480
386,7480
387,7480
388,7480
389,7480
390,7480
391,7480
392,7480
393,7480
394,7480
395,7480
396,7480
397,7480
398,7480
399,7480
400,7480
401,7810
402,7810
403,7810
404,7810
405,7810
406,7810
407,7810
408,7810
409,7810
410,7810
411,7810
412,7810
413,7810
414,7810
415,7810
416,7810
417,7810
418,7810
419,7810
420,8030
421,8030
422,8030
423,8030
424,8030
425,8030
426,8030
427,8030
428,8030
429,8030
430,8030
431,8030
432,8030
433,8030
434,8030
435,8030
436,8030
437,8030
438,8360
439,8360
440,8360
441,8360
442,8360
443,8360
444,8360
445,8360
446,8360
447,8360
448,8360
449,8360
450,8360
451,8360
452,8360
453,8360
454,8360
455,8360
456,8690
457,8690
458,8690
459,8690
460,8690
461,8690
462,8690
463,8690
464,8690
465,8690
466,8690
467,8690
468,8690
469,8690
470,8690
471,8690
472,8690
473,8690
474,9020
475,9020
476,9020
477,9020
478,9020
479,9020
480,9020
481,9020
482,9020
483,9020
484,9020
485,9020
486,9020
487,9020
488,9020
489,9020
490,9020
491,9020
492,9350
493,9350
494,9350
495,9350
496,9350
497,9350
498,9350
499,9350
500,9350
501,9350
502,9350
503,9350
504,9350
505,9350
506,9350
507,9350
508,9350
509,9350
510,9350
511,9570
512,9570
513,9570
514,9570
515,9570
516,9570
517,9570
518,9570
519,9570
520,9570
521,9570
522,9570
523,9570
524,9570
525,9570
526,9570
527,9570
528,9570
529,9900
530,9900
531,9900
532,9900
533,9900
534,9900
535,9900
536,9900
537,9900
538,9900
539,9900
540,9900
541,9900
542,9900
543,9900
544,9900
545,9900
546,9900
547,10120
548,10120
549,10120
550,10120
551,10120
552,10120
553,10120
554,10120
555,10120
556,10120
557,10120
558,10120
559,10120
560,10120
561,10120
562,10120
563,10120
564,10120
565,10120
566,10120
567,10120
568,10120
569,10120
570,10120
571,10120
572,10120
573,10120
574,10120
575,10120
576,10120
577,10120
578,10120
579,10120
580,10120
581,10120
582,10120
583,10450
584,10450
585,10450
586,10450
587,10450
588,10450
589,10450
590,10450
591,10450
592,10450
593,10450
594,10450
595,10450
596,10450
597,10450
598,10450
599,10450
600,10450
601,10450
602,10450
603,10450
604,10450
605,10450
606,10450
607,10450
608,10450
609,10450
610,10450
611,10450
612,10450
613,10450
614,10450
615,10450
616,10450
617,10450
618,10450
619,10450
620,10780
621,10780
622,10780
623,10780
624,10780
625,10780
626,10780
627,10780
628,10780
629,10780
630,10780
631,10780
632,10780
633,10780
634,10780
635,10780
636,10780
637,10780
638,10780
639,10780
640,10780
641,10780
642,10780
643,10780
644,10780
645,10780
646,10780
647,10780
648,10780
649,10780
650,10780
651,10780
652,10780
653,10780
654,10780
655,10780
656,11110
657,11110
658,11110
659,11110
660,11110
661,11110
662,11110
663,11110
664,11110
665,11110
666,11110
667,11110
668,11110
669,11110
670,11110
671,11110
672,11110
673,11110
674,11110
675,11110
676,11110
677,11110
678,11110
679,11110
680,11110
681,11110
682,11110
683,11110
684,11110
685,11110
686,11110
687,11110
688,11110
689,11110
690,11110
691,11110
692,11440
693,11440
694,11440
695,11440
696,11440
697,11440
698,11440
699,11440
700,11440
701,11440
702,11440
703,11440
704,11440
705,11440
706,11440
707,11440
708,11440
709,11440
710,11440
711,11440
712,11440
713,11440
714,11440
715,11440
716,11440
717,11440
718,11440
719,11440
720,11440
721,11440
722,11440
723,11440
724,11440
725,11440
726,11440
727,11440
728,11440
729,11660
730,11660
731,11660
732,11660
733,11660
734,11660
735,11660
736,11660
737,11660
738,11660
