km,fare
1,155
2,155
3,155
4,199
5,199
6,199
7,209
8,209
9,209
10,209
11,253
12,253
13,253
14,253
15,253
16,341
17,341
18,341
19,341
20,341
21,440
22,440
23,440
24,440
25,440
26,528
27,528
28,528
29,528
30,528
31,616
32,616
33,616
34,616
35,616
36,715
37,715
38,715
39,715
40,715
41,803
42,803
43,803
44,803
45,803
46,902
47,902
48,902
49,902
50,902
51,1034
52,1034
53,1034
54,1034
55,1034
56,1034
57,1034
58,1034
59,1034
60,1034
61,1221
62,1221
63,1221
64,1221
65,1221
66,1221
67,1221
68,1221
69,1221
70,1221
71,1408
72,1408
73,1408
74,1408
75,1408
76,1408
77,1408
78,1408
79,1408
80,1408
81,1595
82,1595
83,1595
84,1595
85,1595
86,1595
87,1595
88,1595
89,1595
90,1595
91,1782
92,1782
93,1782
94,1782
95,1782
96,1782
97,1782
98,1782
99,1782
100,1782
101,2090
102,2090
103,2090
104,2090
105,2090
106,2090
107,2090
108,2090
109,2090
110,2090
111,2090
112,2090
113,2090
114,2090
115,2090
116,2090
117,2090
118,2090
119,2090
120,2090
121,2420
122,2420
123,2420
124,2420
125,2420
126,2420
127,2420
128,2420
129,2420
130,2420
131,2420
132,2420
133,2420
134,2420
135,2420
136,2420
137,2420
138,2420
139,2420
140,2420
141,2750
142,2750
143,2750
144,2750
145,2750
146,2750
147,2750
148,2750
149,2750
150,2750
151,2750
152,2750
153,2750
154,2750
155,2750
156,2750
157,2750
158,2750
159,2750
160,2750
161,3190
162,3190
163,3190
164,3190
165,3190
166,3190
167,3190
168,3190
169,3190
170,3190
171,3190
172,3190
173,3190
174,3190
175,3190
176,3190
177,3190
178,3190
179,3190
180,3190
181,3520
182,3520
183,3520
184,3520
185,3520
186,3520
187,3520
188,3520
189,3520
190,3520
191,3520
192,3520
193,3520
194,3520
195,3520
196,3520
197,3520
198,3520
199,3520
200,3520
201,3850
202,3850
203,3850
204,3850
205,3850
206,3850
207,3850
208,3850
209,3850
210,3850
211,3850
212,3850
213,3850
214,3850
215,3850
216,3850
217,3850
218,3850
219,3850
220,3850
221,4180
222,4180
223,4180
224,4180
225,4180
226,4180
227,4180
228,4180
229,4180
230,4180
231,4180
232,4180
233,4180
234,4180
235,4180
236,4180
237,4180
238,4180
239,4180
240,4180
241,4620
242,4620
243,4620
244,4620
245,4620
246,4620
247,4620
248,4620
249,4620
250,4620
251,4620
252,4620
253,4620
254,4620
255,4620
256,4620
257,4620
258,4620
259,4620
260,4620
261,5060
262,5060
263,5060
264,5060
265,5060
266,5060
267,5060
268,5060
269,5060
270,5060
271,5060
272,5060
273,5060
274,5060
275,5060
276,5060
277,5060
278,5060
279,5060
280,5060
281,5390
282,5390
283,5390
284,5390
285,5390
286,5390
287,5390
288,5390
289,5390
290,5390
291,5390
292,5390
293,5390
294,5390
295,5390
296,5390
297,5390
298,5390
299,5390
300,5390
301,5720
302,5720
303,5720
304,5720
305,5720
306,5720
307,5720
308,5720
309,5720
310,5720
311,5720
312,5720
313,5720
314,5720
315,5720
316,5720
317,5720
318,5720
319,5720
320,5720
321,5940
322,5940
323,5940
324,5940
325,5940
326,5940
327,5940
328,5940
329,5940
330,5940
331,5940
332,5940
333,5940
334,5940
335,5940
336,5940
337,5940
338,5940
339,5940
340,5940
341,6270
342,6270
343,6270
344,6270
345,6270
346,6270
347,6270
348,6270
349,6270
350,6270
351,6270
352,6270
353,6270
354,6270
355,6270
356,6270
357,6270
358,6270
359,6270
360,6270
361,6600
362,6600
363,6600
364,6600
365,6600
366,6600
367,6600
368,6600
369,6600
370,6600
371,6600
372,6600
373,6600
374,6600
375,6600
376,6600
377,6600
378,6600
379,6600
380,6600
381,6930
382,6930
383,6930
384,6930
385,6930
386,6930
387,6930
388,6930
389,6930
390,6930
391,6930
392,6930
393,6930
394,6930
395,6930
396,6930
397,6930
398,6930
399,6930
400,6930
401,7260
402,7260
403,7260
404,7260
405,7260
406,7260
407,7260
408,7260
409,7260
410,7260
411,7260
412,7260
413,7260
414,7260
415,7260
416,7260
417,7260
418,7260
419,7260
420,7260
421,7480
422,7480
423,7480
424,7480
425,7480
426,7480
427,7480
428,7480
429,7480
430,7480
431,7480
432,7480
433,7480
434,7480
435,7480
436,7480
437,7480
438,7480
439,7480
440,7480
441,7810
442,7810
443,7810
444,7810
445,7810
446,7810
447,7810
448,7810
449,7810
450,7810
451,7810
452,7810
453,7810
454,7810
455,7810
456,7810
457,7810
458,7810
459,7810
460,7810
461,8030
462,8030
463,8030
464,8030
465,8030
466,8030
467,8030
468,8030
469,8030
470,8030
471,8030
472,8030
473,8030
474,8030
475,8030
476,8030
477,8030
478,8030
479,8030
480,8030
481,8360
482,8360
483,8360
484,8360
485,8360
486,8360
487,8360
488,8360
489,8360
490,8360
491,8360
492,8360
493,8360
494,8360
495,8360
496,8360
497,8360
498,8360
499,8360
500,8360
501,8690
502,8690
503,8690
504,8690
505,8690
506,8690
507,8690
508,8690
509,8690
510,8690
511,8690
512,8690
513,8690
514,8690
515,8690
516,8690
517,8690
518,8690
519,8690
520,8690
521,9020
522,9020
523,9020
524,9020
525,9020
526,9020
527,9020
528,9020
529,9020
530,9020
531,9020
532,9020
533,9020
534,9020
535,9020
536,9020
537,9020
538,9020
539,9020
540,9020
541,9350
542,9350
543,9350
544,9350
545,9350
546,9350
547,9350
548,9350
549,9350
550,9350
551,9350
552,9350
553,9350
554,9350
555,9350
556,9350
557,9350
558,9350
559,9350
560,9350
561,9570
562,9570
563,9570
564,9570
565,9570
566,9570
567,9570
568,9570
569,9570
570,9570
571,9570
572,9570
573,9570
574,9570
575,9570
576,9570
577,9570
578,9570
579,9570
580,9570
581,9900
582,9900
583,9900
584,9900
585,9900
586,9900
587,9900
588,9900
589,9900
590,9900
591,9900
592,9900
593,9900
594,9900
595,9900
596,9900
597,9900
598,9900
599,9900
600,9900
601,10230
602,10230
603,10230
604,10230
605,10230
606,10230
607,10230
608,10230
609,10230
610,10230
611,10230
612,10230
613,10230
614,10230
615,10230
616,10230
617,10230
618,10230
619,10230
620,10230
621,10230
622,10230
623,10230
624,10230
625,10230
626,10230
627,10230
628,10230
629,10230
630,10230
631,10230
632,10230
633,10230
634,10230
635,10230
636,10230
637,10230
638,10230
639,10230
640,10230
641,10450
642,10450
643,10450
644,10450
645,10450
646,10450
647,10450
648,10450
649,10450
650,10450
651,10450
652,10450
653,10450
654,10450
655,10450
656,10450
657,10450
658,10450
659,10450
660,10450
661,10450
662,10450
663,10450
664,10450
665,10450
666,10450
667,10450
668,10450
669,10450
670,10450
671,10450
672,10450
673,10450
674,10450
675,10450
676,10450
677,10450
678,10450
679,10450
680,10450
681,10780
682,10780
683,10780
684,10780
685,10780
686,10780
687,10780
688,10780
689,10780
690,10780
691,10780
692,10780
693,10780
694,10780
695,10780
696,10780
697,10780
698,10780
699,10780
700,10780
701,10780
702,10780
703,10780
704,10780
705,10780
706,10780
707,10780
708,10780
709,10780
710,10780
711,10780
712,10780
713,10780
714,10780
715,10780
716,10780
717,10780
718,10780
719,10780
720,10780
721,11110
722,11110
723,11110
724,11110
725,11110
726,11110
727,11110
728,11110
729,11110
730,11110
731,11110
732,11110
733,11110
734,11110
735,11110
736,11110
737,11110
738,11110
739,11110
