from_station,to_station,status,fare
東京,西船橋,継続,320
新橋,逗子,継続,830
新橋,東逗子,廃止,830
新橋,田浦,廃止,830
新橋,横須賀,廃止,950
新橋,衣笠,廃止,950
新橋,久里浜,廃止,950
浜松町,逗子,継続,830
浜松町,東逗子,廃止,830
浜松町,田浦,廃止,830
浜松町,横須賀,廃止,830
浜松町,衣笠,廃止,950
浜松町,久里浜,廃止,950
田町,逗子,継続,830
田町,東逗子,廃止,830
田町,田浦,廃止,830
田町,横須賀,廃止,830
田町,衣笠,廃止,950
田町,久里浜,廃止,950
高輪ゲートウェイ,東逗子,廃止,830
高輪ゲートウェイ,田浦,廃止,830
高輪ゲートウェイ,横須賀,廃止,830
高輪ゲートウェイ,久里浜,廃止,950
品川,新子安,廃止,310
品川,東神奈川,継続,310
品川,横浜,継続,310
品川,逗子,継続,740
品川,東逗子,廃止,830
品川,田浦,廃止,830
品川,横須賀,廃止,830
品川,衣笠,廃止,830
品川,久里浜,廃止,950
大井町,新子安,廃止,310
大井町,東神奈川,廃止,310
大井町,横浜,廃止,310
大井町,逗子,継続,740
大井町,田浦,廃止,830
大井町,横須賀,廃止,830
大井町,衣笠,廃止,830
大井町,久里浜,廃止,950
大森,東神奈川,廃止,310
大森,横浜,廃止,310
大森,横須賀,廃止,830
大森,衣笠,廃止,830
蒲田,衣笠,廃止,830
横浜,鎌倉,廃止,360
横浜,逗子,継続,360
横浜,田浦,廃止,490
保土ケ谷,逗子,廃止,360
西大井,新子安,廃止,310
西大井,東神奈川,廃止,310
西大井,横浜,継続,310
西大井,逗子,継続,740
西大井,田浦,廃止,830
西大井,横須賀,廃止,830
西大井,衣笠,廃止,830
武蔵小杉,衣笠,廃止,830
西大井,久里浜,廃止,950
大久保,豊田,廃止,500
大久保,八王子,継続,500
大久保,西八王子,廃止,580
大久保,高尾,継続,580
大久保,昭島,継続,490
大久保,拝島,継続,490
東中野,豊田,廃止,500
東中野,八王子,廃止,500
東中野,西八王子,廃止,580
東中野,高尾,継続,580
東中野,拝島,継続,490
中野,八王子,廃止,500
中野,西八王子,廃止,580
中野,高尾,廃止,580
高円寺,八王子,廃止,500
高円寺,高尾,廃止,580
阿佐ケ谷,八王子,廃止,500
阿佐ケ谷,高尾,廃止,580
新宿,日野,廃止,500
新宿,豊田,廃止,500
新宿,八王子,継続,500
新宿,西八王子,廃止,580
新宿,高尾,継続,580
新宿,中神,継続,490
新宿,昭島,継続,490
新宿,拝島,継続,490
渋谷,新子安,継続,410
渋谷,東神奈川,継続,410
渋谷,横浜,継続,410
渋谷,桜木町,廃止,490
渋谷,吉祥寺,継続,230
恵比寿,東神奈川,継続,410
恵比寿,横浜,継続,410
目黒,横浜,継続,410
上野,成田,廃止,940
上野,下総松崎,廃止,940
上野,安食,廃止,940
上野,小林,廃止,940
鶯谷,成田,廃止,940
鶯谷,下総松崎,廃止,940
鶯谷,安食,廃止,940
鶯谷,小林,廃止,940
日暮里,成田,廃止,940
日暮里,下総松崎,廃止,940
日暮里,安食,廃止,940
三河島,成田,廃止,940
三河島,下総松崎,廃止,940
三河島,安食,廃止,940
南千住,成田,廃止,940
南千住,下総松崎,廃止,940
南千住,安食,廃止,940
北千住,成田,廃止,940
北千住,下総松崎,廃止,940
綾瀬,成田,廃止,940
綾瀬,下総松崎,廃止,940
亀有,成田,廃止,940
金町,成田,廃止,940
